TOR | #23 L Matthew Knies 8482720 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8482720.png
TOR | #18 C Steven Lorentz 8478904 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8478904.png
TOR | #16 R Mitch Marner 8478483 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8478483.png
TOR | #34 C Auston Matthews 8479318 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8479318.png
TOR | #74 C Bobby McMann 8482259 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8482259.png
TOR | #39 C Fraser Minten 8483489 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8483489.png
TOR | #88 R William Nylander 8477939 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8477939.png
TOR | #67 L Max Pacioretty 8474157 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8474157.png
TOR | #75 R Ryan Reaves 8471817 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8471817.png
TOR | #89 L Nicholas Robertson 8481582 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8481582.png
TOR | #91 C John Tavares 8475166 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8475166.png
TOR | #2 D Simon Benoit 8481122 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8481122.png
TOR | #95 D Oliver Ekman-Larsson 8475171 SWE https://assets.nhle.com/mugs/nhl/20242025/TOR/8475171.png
TOR | #28 D Jani Hakanpää 8475825 FIN https://assets.nhle.com/mugs/nhl/20242025/TOR/8475825.png
TOR | #22 D Jake McCabe 8476931 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8476931.png
TOR | #51 D Philippe Myers 8479026 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8479026.png
TOR | #44 D Morgan Rielly 8476853 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8476853.png
TOR | #8 D Chris Tanev 8475690 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8475690.png
TOR | #25 D Conor Timmins 8479982 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8479982.png
TOR | #30 G Matt Murray 8476899 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8476899.png
TOR | #41 G Anthony Stolarz 8476932 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8476932.png
TOR | #60 G Joseph Woll 8479361 USA https://assets.nhle.com/mugs/nhl/20242025/TOR/8479361.png
VGK | #49 C Ivan Barbashev 8477964 RUS https://assets.nhle.com/mugs/nhl/20242025/VGK/8477964.png
VGK | #16 L Pavel Dorofeyev 8481604 RUS https://assets.nhle.com/mugs/nhl/20242025/VGK/8481604.png
VGK | #9 C Jack Eichel 8478403 USA https://assets.nhle.com/mugs/nhl/20242025/VGK/8478403.png
VGK | #48 C Tomas Hertl 8476881 CZE https://assets.nhle.com/mugs/nhl/20242025/VGK/8476881.png
VGK | #26 R Alexander Holtz 8482125 SWE https://assets.nhle.com/mugs/nhl/20242025/VGK/8482125.png
VGK | #21 C Brett Howden 8479353 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8479353.png
VGK | #71 C William Karlsson 8476448 SWE https://assets.nhle.com/mugs/nhl/20242025/VGK/8476448.png
VGK | #55 R Keegan Kolesar 8478434 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8478434.png
VGK | #36 C Raphael Lavoie 8481534 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8481534.png
VGK | #95 R Victor Olofsson 8478109 SWE https://assets.nhle.com/mugs/nhl/20242025/VGK/8478109.png
VGK | #70 L Tanner Pearson 8476871 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8476871.png
VGK | #10 C Nicolas Roy 8478462 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8478462.png
VGK | #N/A L Brandon Saad 8476438 USA https://assets.nhle.com/mugs/nhl/20242025/VGK/8476438.png
VGK | #22 R Cole Schwindt 8481655 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8481655.png
VGK | #61 R Mark Stone 8475913 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8475913.png
VGK | #14 D Nicolas Hague 8479980 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8479980.png
VGK | #15 D Noah Hanifin 8478396 USA https://assets.nhle.com/mugs/nhl/20242025/VGK/8478396.png
VGK | #17 D Ben Hutton 8477018 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8477018.png
VGK | #6 D Kaedan Korczak 8481527 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8481527.png
VGK | #3 D Brayden McNabb 8475188 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8475188.png
VGK | #7 D Alex Pietrangelo 8474565 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8474565.png
VGK | #27 D Shea Theodore 8477447 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8477447.png
VGK | #2 D Zach Whitecloud 8480727 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8480727.png
VGK | #33 G Adin Hill 8478499 CAN https://assets.nhle.com/mugs/nhl/20242025/VGK/8478499.png
VGK | #35 G Ilya Samsonov 8478492 RUS https://assets.nhle.com/mugs/nhl/20242025/VGK/8478492.png
WPG | #22 C Mason Appleton 8478891 USA https://assets.nhle.com/mugs/nhl/20242025/WPG/8478891.png
WPG | #36 C Morgan Barron 8480289 CAN https://assets.nhle.com/mugs/nhl/20242025/WPG/8480289.png
WPG | #81 L Kyle Connor 8478398 USA https://assets.nhle.com/mugs/nhl/20242025/WPG/8478398.png
WPG | #27 L Nikolaj Ehlers 8477940 DNK https://assets.nhle.com/mugs/nhl/20242025/WPG/8477940.png
WPG | #73 C Parker Ford 8484135 USA https://assets.nhle.com/mugs/nhl/20242025/WPG/8484135.png
WPG | #19 C David Gustafsson 8481019 SWE https://assets.nhle.com/mugs/nhl/20242025/WPG/8481019.png
WPG | #9 L Alex Iafallo 8480113 USA https://assets.nhle.com/mugs/nhl/20242025/WPG/8480113.png
WPG | #15 C Rasmus Kupari 8480845 FIN https://assets.nhle.com/mugs/nhl/20242025/WPG/8480845.png
WPG | #93 C Brad Lambert 8483471 FIN https://assets.nhle.com/mugs/nhl/20242025/WPG/8483471.png
WPG | #17 C Adam Lowry 8476392 USA https://assets.nhle.com/mugs/nhl/20242025/WPG/8476392.png
WPG | #7 C Vladislav Namestnikov 8476480 RUS https://assets.nhle.com/mugs/nhl/20242025/WPG/8476480.png
WPG | #62 R Nino Niederreiter 8475799 CHE https://assets.nhle.com/mugs/nhl/20242025/WPG/8475799.png
WPG | #91 C Cole Perfetti 8482149 CAN https://assets.nhle.com/mugs/nhl/20242025/WPG/8482149.png
WPG | #55 C Mark Scheifele 8476460 CAN https://assets.nhle.com/mugs/nhl/20242025/WPG/8476460.png
WPG | #13 C Gabriel Vilardi 8480014 CAN https://assets.nhle.com/mugs/nhl/20242025/WPG/8480014.png
WPG | #2 D Dylan DeMelo 8476331 CAN https://assets.nhle.com/mugs/nhl/20242025/WPG/8476331.png
